timestamps,TP9,AF7,AF8,TP10,Right AUX
1718680472.165,-169.434,-218.262,-288.086,-287.109,0.000
1718680472.169,-539.062,-267.090,-409.180,-1000.000,0.000
1718680472.173,-319.336,-602.051,-495.605,-500.000,0.000
1718680472.176,197.754,-80.078,-160.645,674.316,0.000
1718680472.180,307.129,436.523,84.473,852.051,0.000
1718680472.184,-94.238,176.758,-150.391,-94.727,0.000
1718680472.188,-503.418,-708.984,-605.957,-966.309,0.000
1718680472.192,-385.254,-866.699,-552.246,-629.883,0.000
1718680472.196,119.141,-34.180,-77.637,550.781,0.000
1718680472.200,334.473,104.004,-27.344,916.504,0.000
1718680472.204,-0.488,-664.062,-498.535,96.191,0.000
1718680472.208,-520.020,-781.738,-539.062,-908.203,0.000
1718680472.212,-440.430,-272.949,-346.680,-750.488,0.000
1718680472.216,111.328,-98.633,-313.965,422.852,0.000
1718680472.219,345.703,-47.852,-138.184,931.152,0.000
1718680472.223,40.527,153.320,-49.316,213.379,0.000
1718680472.227,-463.379,-287.598,-421.875,-860.840,0.000
1718680472.231,-465.820,-648.926,-540.527,-827.637,0.000
1718680472.235,24.414,-328.613,-233.398,294.922,0.000
1718680472.239,338.379,261.719,61.035,920.898,0.000
1718680472.243,132.812,299.805,-6.348,370.117,0.000
1718680472.247,-396.973,-506.836,-447.266,-761.719,0.000
1718680472.251,-517.578,-859.863,-539.551,-898.926,0.000
1718680472.255,-81.543,-232.422,-253.418,142.578,0.000
1718680472.258,324.219,275.391,0.977,918.945,0.000
1718680472.262,201.172,20.508,-103.027,506.836,0.000
1718680472.266,-365.723,-428.711,-433.594,-690.918,0.000
1718680472.270,-545.410,-345.703,-407.227,-997.559,0.000
1718680472.274,-117.188,-144.531,-312.012,-26.855,0.000
1718680472.278,303.223,-111.816,-266.113,893.066,0.000
1718680472.282,213.379,-42.480,-177.246,628.418,0.000
1718680472.286,-317.383,-424.316,-419.434,-568.848,0.000
1718680472.290,-547.852,-635.742,-508.301,-1000.000,0.000
