timestamps,TP9,AF7,AF8,TP10,Right AUX
1718676266.612,-19.531,-29.785,-540.527,-31.250,0.000
1718676266.616,32.715,15.625,-54.199,49.805,0.000
1718676266.620,27.344,31.738,206.055,27.344,0.000
1718676266.624,-45.410,-13.672,-237.305,-52.246,0.000
1718676266.628,-86.914,-57.129,-729.492,-82.031,0.000
1718676266.632,-50.293,-19.043,-458.496,-37.598,0.000
1718676266.636,-2.930,36.133,216.309,41.504,0.000
1718676266.640,-16.113,20.996,248.535,32.227,0.000
1718676266.644,-48.828,-37.598,-276.367,-62.988,0.000
1718676266.648,-63.965,-71.777,-646.484,-118.652,0.000
1718676266.652,-23.438,-58.594,-573.730,-56.641,0.000
1718676266.655,22.949,-12.695,-41.504,42.969,0.000
1718676266.659,-10.254,-3.418,130.371,36.133,0.000
1718676266.663,-43.457,-41.016,-236.816,-47.363,0.000
1718676266.667,-42.969,-71.289,-602.539,-101.562,0.000
1718676266.671,-29.785,-62.012,-621.094,-61.523,0.000
1718676266.675,0.977,-15.625,-110.840,20.996,0.000
1718676266.679,0.000,10.742,299.316,0.000,0.000
1718676266.683,0.000,-32.227,22.949,0.000,0.000
1718676266.687,0.000,-94.727,-633.789,0.000,0.000
1718676266.691,0.000,-75.195,-631.348,0.000,0.000
1718676266.694,0.000,-14.648,-55.664,0.000,0.000
1718676266.698,0.000,-6.348,207.031,0.000,0.000
1718676266.702,0.000,-64.941,-131.348,0.000,0.000
1718676266.706,0.000,-112.305,-678.711,0.000,0.000
1718676266.710,0.000,-68.359,-639.648,0.000,0.000
1718676266.714,0.000,-30.273,-196.289,0.000,0.000
1718676266.718,0.000,-13.184,161.133,0.000,0.000
1718676266.722,0.000,-32.715,37.109,0.000,0.000
1718676266.725,-68.848,-72.754,-484.863,-110.840,0.000
1718676266.729,-55.664,-88.379,-737.305,-83.496,0.000
1718676266.733,-2.441,-48.828,-289.062,1.953,0.000
1718676266.737,11.230,5.859,288.574,38.574,0.000
1718676266.741,-14.160,-9.277,171.387,-6.836,0.000
1718676266.745,-34.180,-79.590,-549.316,-88.379,0.000
1718676266.749,-37.598,-119.141,-886.230,-84.961,0.000
1718676266.753,-1.953,-41.992,-306.152,-21.484,0.000
1718676266.757,44.922,20.508,311.523,36.133,0.000
1718676266.761,-6.836,-17.578,159.668,0.977,0.000
1718676266.765,-56.152,-68.848,-419.922,-84.961,0.000
1718676266.768,-41.992,-79.590,-658.203,-102.051,0.000
1718676266.773,0.000,-46.387,-354.492,-30.762,0.000
1718676266.777,0.000,-17.090,163.574,55.176,0.000
1718676266.781,0.000,-22.461,225.586,17.578,0.000
1718676266.785,0.000,-55.664,-275.879,-66.406,0.000
1718676266.789,0.000,-78.125,-649.902,-93.750,0.000
1718676266.792,0.000,-75.684,-552.734,-27.832,0.000
1718676266.796,0.000,-21.484,50.293,48.340,0.000
